childgender,childage,enrolled,momage,mauza,momeduc,schoolpresent7,birth_tehsil,child_edu_time
2,11,1,30,331110102001,0,0,3313,240
2,8,1,30,331110102001,1,1,3315,240
1,5,0,30,331110102001,1,1,3315,240
2,9,1,30,331110102001,1,1,3315,240
2,11,0,51,331110102001,0,0,3421,0
2,14,0,51,331110102001,0,0,3421,0
1,12,1,30,331110102001,1,1,3451,180
1,10,1,30,331110102001,1,1,3451,180
1,8,1,30,331110102001,1,1,3451,180
2,7,1,35,331110102001,0,0,3312,180
1,13,1,35,331110102001,0,0,3312,180
2,5,0,35,331110102001,0,0,3312,0
2,9,1,35,331110102001,0,0,3312,180
2,15,0,35,331110102001,0,0,3312,0
2,11,1,35,331110102001,0,0,3312,300
2,13,1,50,331110102001,1,0,3312,210
2,9,1,50,331110102001,1,0,3312,120
2,11,1,50,331110102001,1,0,3312,180
1,14,1,35,331110102001,0,0,3134,150
1,12,1,35,331110102001,0,0,3134,150
1,10,1,35,331110102001,0,0,3134,210
2,13,1,40,331110102001,1,0,3542,240
1,11,1,40,331110102001,1,0,3542,240
2,15,0,43,331110102001,0,0,3313,0
2,12,0,43,331110102001,0,0,3313,0
2,8,1,28,331310702003,1,1,9997,240
2,6,1,28,331310702003,1,1,9997,240
1,14,1,45,331310702003,0,1,9998,300
1,10,1,45,331310702003,0,1,9998,150
1,12,0,45,331310702003,0,1,9998,0
2,8,1,34,331310702003,0,1,3313,60
1,11,1,34,331310702003,0,1,3313,180
1,5,1,40,331310702003,1,1,3313,60
2,13,1,40,331310702003,1,1,3313,120
2,11,1,40,331310702003,1,1,3313,240
2,9,1,40,331310702003,1,1,3313,240
1,15,1,40,331310702003,1,1,3313,300
1,7,1,38,331310702003,0,1,9995,180
1,10,1,38,331310702003,0,1,9995,180
2,9,1,38,331510308003,0,1,3315,180
2,7,1,38,331510308003,0,1,3315,180
1,15,1,38,331510308003,0,1,3315,300
1,7,1,30,331510308003,0,1,3313,120
2,9,1,30,331510308003,0,1,3313,180
2,14,1,30,331510308003,0,1,3313,150
