age,salary,hours,weeks,educ,immigrant,test_score
28,25412,48,52,12,0,-1.0730453
28,9434,40,36,14,1,.29616895
28,6000,35,52,8,0,-1.3182647
28,8000,40,9,12,1,1.5961211
28,11490,40,48,13,1,-.72707558
28,22000,45,52,16,0,-.90249443
28,13000,40,52,16,0,.95083916
28,32500,45,48,12,0,.58413363
28,19002,40,52,13,1,-.10871411
28,8800,40,52,12,0,-.010874155
28,23400,40,52,12,1,1.0635194
28,16080,40,52,15,0,-1.6457574
28,14000,55,48,12,0,-1.3773626
28,6920,40,30,12,0,-.68686128
28,25000,60,52,12,1,.21715647
28,29000,75,52,18,0,.78986681
28,13000,40,52,6,0,.076308131
28,6366,40,52,13,0,.39253947
28,28000,45,52,12,1,-1.1376483
28,11860,45,37,16,1,.6918593
28,16000,40,40,13,1,.28745803
29,25000,72,51,12,0,-.67240703
29,25500,40,52,12,0,1.2544545
29,16000,40,52,13,0,-.73929727
29,9100,50,52,7,1,-1.0544505
29,29000,40,52,12,0,.38922179
29,21000,35,52,12,0,-1.0179746
29,35002,40,52,12,0,.17775077
29,30000,66,52,13,0,-.2153803
29,67000,45,52,16,1,2.1169965
29,6000,9,52,12,1,.073897891
29,23400,40,52,13,0,-.91304207
29,5671,40,40,12,1,.31287634
29,27000,45,52,16,0,-1.0801491
29,25000,40,52,12,0,1.1120887
29,25000,40,52,13,1,-.18725687
29,26700,40,46,14,1,1.6537952
29,32000,60,52,17,1,1.1744562
29,1443,15,15,15,1,.14639913
29,15000,40,52,7,0,-1.6853501
29,8558,40,39,7,0,-.94579059
29,16976,40,52,14,0,.47025242
29,31040,45,52,16,1,-1.1754788
29,34000,40,52,17,1,-.3553102
30,17000,40,52,12,1,.033525817
30,17000,40,52,10,0,.38895014
30,55000,40,52,16,0,1.7112277
30,16100,35,52,13,0,.93129075
30,24000,36,48,14,1,-.2630173
30,18350,84,26,14,0,-1.260286
30,20000,68,52,15,1,.92018914
30,25000,40,52,13,1,.37919518
30,67000,50,52,18,1,2.437145
30,7800,60,52,10,0,-1.3883567
30,5040,15,28,10,1,.59096408
30,18000,35,46,16,0,-1.1539996
30,22000,40,30,16,1,-.015639575
30,6600,40,17,13,1,.83293307
30,27000,40,52,16,1,-.33819097
30,5000,10,20,16,1,.81091827
30,19000,40,52,12,1,-1.4593611
30,18000,32,52,13,1,-.52172506
30,24000,40,52,12,1,1.2782284
30,36000,40,52,13,0,-1.0783176
30,27000,40,52,16,0,.29023305
30,32000,70,44,8,0,.13489467
30,42200,40,52,18,1,1.8367959
31,18000,40,52,12,1,-.48150277
31,29000,40,52,16,0,-.41903383
31,21000,45,52,7,0,.27763724
31,17300,45,52,12,1,.55306399
31,17000,40,52,12,1,.74680126
31,16000,50,52,13,0,.54701018
31,43000,50,52,16,0,1.5552338
31,30000,40,52,16,1,-.88087463
31,10000,45,50,14,1,-.091912977
31,20000,40,30,17,0,-1.041376
31,21100,45,52,12,1,-.55998033
31,30000,40,52,11,0,-1.1109596
31,14000,40,30,16,1,.19588414
31,28000,70,52,12,0,.51534796
31,6000,40,16,10,0,-1.3324974
31,3000,40,10,15,0,-1.005145
31,16269,40,52,12,0,-.53751731
31,37964,40,52,16,0,1.0804285
31,50000,40,52,13,1,1.2081705
31,64000,45,52,16,0,-.32625031
31,19160,40,52,13,0,.41618526
31,29000,45,52,12,0,-.75895643
31,29000,45,52,12,0,.77807415
31,11000,40,52,8,0,-.01603318
31,17800,65,52,16,0,-1.2145329
31,22000,20,52,14,0,.77068406
31,22500,50,52,16,0,-.2054466
31,27624,40,52,12,1,.82893401
31,35000,40,52,16,1,.83029568
31,39200,40,52,14,1,.056729387
31,28000,33,52,14,1,-.91063863
31,800,30,3,16,0,.46923205
31,1500,8,15,16,1,.92692858
31,12000,50,52,12,0,-.79856521
