age,black,hispanic,income,single,married,yrs_educ,urban,male
21,0,0,752.12994,1,0,12,0,0
18,0,0,666.44421,1,0,12,0,1
22,0,0,674.06091,1,0,12,0,0
22,0,0,599.7998,1,0,14,0,0
19,0,0,666.44421,1,0,12,0,0
21,0,0,656.92371,1,0,12,1,1
19,0,0,437.94913,1,0,13,0,0
20,0,0,952.06335,1,0,12,0,1
22,0,0,757.84247,0,1,12,0,1
21,0,0,626.45764,0,1,12,0,0
19,0,0,891.13141,1,0,12,0,1
22,0,0,1351.9302,1,0,12,0,1
22,0,0,1245.2991,0,1,12,1,1
19,0,0,714.04755,1,0,12,1,1
20,0,0,952.06335,1,0,12,1,1
19,0,0,1332.8884,1,0,12,0,1
20,0,0,666.44421,1,0,12,1,0
19,0,0,714.04755,1,0,12,1,0
20,0,0,799.73309,1,0,12,1,0
19,0,0,1904.1267,1,0,12,1,1
19,0,0,879.70642,1,0,11,1,1
19,0,0,780.69189,1,0,10,1,1
20,0,0,647.40308,1,0,12,1,0
21,0,0,1180.5585,0,1,12,0,1
20,0,0,1148.1881,1,0,12,0,0
22,0,0,342.7428,0,1,12,0,1
23,0,0,733.08868,0,1,12,0,0
21,0,0,333.22211,1,0,12,0,0
22,0,0,695.00635,1,0,16,1,0
22,0,0,666.44421,1,0,14,0,0
21,0,0,681.67749,1,0,12,0,1
19,0,0,856.85706,1,0,12,0,1
22,0,0,1256.7238,0,1,12,0,1
21,0,0,1132.9552,0,1,10,0,0
20,0,0,1332.8884,1,0,12,0,1
22,0,0,952.06335,0,1,12,0,1
20,0,0,1647.0697,1,0,12,1,1
23,0,0,790.2124,1,0,13,0,0
21,0,0,828.29504,0,1,10,0,0
21,0,0,1106.2976,1,0,12,0,1
21,0,0,776.88367,1,0,12,0,0
19,0,0,656.92371,1,0,12,0,0
18,0,0,514.1142,1,0,12,0,0
17,0,0,666.44421,1,0,8,0,1
20,0,0,714.04755,1,0,13,0,1
22,0,0,1081.5441,1,0,12,0,1
20,0,0,628.36182,1,0,12,0,0
20,0,0,717.85577,1,0,12,0,0
20,0,0,639.78644,1,0,13,0,0
22,0,0,634.07428,1,0,12,0,1
21,0,0,2142.1426,0,1,12,0,1
18,1,0,1047.2698,1,0,12,0,1
19,0,0,708.33508,1,0,12,0,1
18,0,0,590.27924,1,0,12,0,0
18,0,0,761.6507,0,1,12,0,1
